abbr,STATE,Density,Pop,LandArea,gdpRank,stateGDP,stateGDPperc,1,Airports,Automobiles,Buses,negative,positive,death,Death Rate,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hospitalized,totalTestResults,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,lastUpdateEt,checkTimeEt,pvi,governorParty,senateParty,houseBalance
MO,Missouri,89.7453,6169270,68742,22,323287,0.015,2.3,510,2141050,27180,44380,2470,143,5.789473684,,237,602,126,241,,,1202,602,46850,1,1,1,1,A,4,4/19/2020 17:00,4/20/2020 23:58,9,Republican,Republican,"6R, 2D"
MS,Mississippi,63.7056,2989260,46923,36,115749,0.006,1,235,822864,8018,51179,5807,177,3.048045462,,873,,,,,,,,56986,1,1,1,1,A,4,4/20/2020 15:00,4/20/2020 23:56,9,Republican,Republican,"3R, 1D"
MT,Montana,7.4668,1086759,145546,48,49635,0.002,0.9,301,441392,4702,46922,4512,169,3.745567376,,548,819,146,,89,,,819,51434,1,1,1,1,A,4,4/19/2020 19:00,4/20/2020 22:55,11,Democratic,Both,1R
NC,North Carolina,218.2702,10611862,48618,12,575605,0.028,2.9,486,3317918,32493,10618,433,10,2.309468822,,19,57,,,,,243,57,11051,1,1,1,1,A,4,4/20/2020 11:00,4/20/2020 15:01,3,Democratic,Republican,"8R, 3D, 2 Vacant"
ND,North Dakota,11.0393,761723,69001,45,55657,0.003,2.5,282,276545,3331,72720,6764,179,2.646363099,,373,,,,,,,,79484,1,1,1,1,A,4,4/20/2020 10:35,4/20/2020 14:59,17,Republican,Republican,1R
NE,Nebraska,25.4161,1952570,76824,35,124742,0.006,1.5,246,677040,13564,14120,627,13,2.073365231,,17,53,,,,,189,53,14747,1,1,1,0,B,3,4/20/2020 13:00,4/20/2020 14:58,14,Republican,Republican,3R
NH,New Hampshire,153.1605,1371246,8953,39,86046,0.004,2.2,186,505381,2871,14724,1648,33,2.002427184,,,,,,,,,,16372,1,1,1,1,A,4,4/20/2020 19:45,4/21/2020 0:03,0,Republican,Democratic,2D
NJ,New Jersey,1215.1991,8936574,7354,8,634721,0.03,2,320,2798699,25097,12848,1447,42,2.902557015,244,78,201,,,,,521,201,14295,1,1,1,0,B,3,4/20/2020 9:00,4/21/2020 0:03,-7,Democratic,Democratic,"11D, 1R"
NM,New Mexico,17.285,2096640,121298,37,101452,0.005,1.8,171,609494,6278,89251,88806,4377,4.928721032,,6986,,2018,,1594,,,,178057,1,1,1,1,A,4,4/20/2020 13:00,4/20/2020 14:52,-3,Democratic,Democratic,3D
NV,Nevada,28.5993,3139658,109781,33,168752,0.008,3.2,139,1047508,3198,36784,1971,58,2.942668696,,116,291,,,,,501,291,38755,1,1,1,1,A,4,4/20/2020 20:45,4/21/2020 0:04,-1,Democratic,Democratic,"3D, 1R"
NY,New York,412.5211,19440469,47126,3,1701399,0.082,2.1,551,4563035,80446,29118,3937,163,4.14020828,,,,,,,,,,33055,1,1,1,1,A,4,4/20/2020 21:00,4/21/2020 10:44,-12,Democratic,Democratic,"21D, 6R"
OH,Ohio,287.5038,11747694,40861,7,689139,0.033,1.8,660,4605459,41255,386349,247512,14347,5.796486635,,16103,57103,5016,,,,23887,57103,633861,1,1,1,1,A,4,4/20/2020 0:00,4/21/2020 8:32,3,Republican,Both,"12R, 4D"
OK,Oklahoma,57.6547,3954821,68595,29,203250,0.01,1.8,457,1337624,3155,77920,12516,509,4.066794503,,,2653,,798,,,,2653,90436,1,1,0,1,B,3,4/20/2020 14:00,4/20/2020 14:10,20,Republican,Republican,"4R, 1D"
OR,Oregon,44.8086,4301089,95988,25,243085,0.012,3.4,442,1542461,17691,32966,2680,143,5.335820896,,307,541,136,,,,1614,541,35646,1,1,0,1,B,3,4/20/2020 0:00,4/20/2020 14:15,-5,Democratic,Democratic,"4D, 1R"
PA,Pennsylvania,286.5449,12820878,44743,6,803307,0.038,2.1,758,4463267,55935,38089,1956,75,3.834355828,,303,465,74,,35,,,465,40045,1,1,1,1,A,4,4/20/2020 11:00,4/20/2020 16:12,0,Democratic,Both,"9D, 9R"
RI,Rhode Island,1021.4323,1056161,1034,44,61341,0.003,0.6,22,420313,2273,129720,33232,1204,3.623013962,,2701,,,,659,,,,162952,1,1,1,1,A,4,4/20/2020 12:00,4/20/2020 14:20,-10,Democratic,Democratic,2D
SC,South Carolina,173.3174,5210095,30061,26,234367,0.011,1.6,196,1808401,17728,31990,5090,155,3.04518664,,272,331,62,,45,,267,331,37080,1,1,1,0,B,3,4/20/2020 12:00,4/20/2020 14:29,8,Republican,Republican,"5R, 2D"
SD,South Dakota,11.9116,903027,75811,47,52544,0.003,1.3,185,353180,2614,36838,4439,124,2.793421942,,,776,,,,,2063,776,41277,1,1,1,0,B,3,4/20/2020 16:00,4/20/2020 23:59,14,Republican,Republican,1R
TN,Tennessee,167.2748,6897576,41235,18,373663,0.018,3,339,2325004,29158,10641,1685,7,0.415430267,,,87,,,,,709,87,12326,1,1,1,1,A,4,4/19/2020 18:00,4/21/2020 10:20,14,Republican,Republican,"7R, 2D"
TX,Texas,112.8204,29472295,261232,2,1818585,0.087,3.2,2031,8176879,67143,93451,7238,152,2.100027632,,,730,,,,,3575,730,100689,1,1,1,1,A,4,4/20/2020 15:00,4/20/2020 15:38,8,Republican,Republican,"23R, 13D"
UT,Utah,39.943,3282115,82170,31,180862,0.009,4.3,156,925052,6109,170936,19458,495,2.543940796,,1411,,,,,,5706,,190394,1,1,1,1,A,4,4/20/2020 12:45,4/20/2020 14:10,20,Republican,Republican,"3R, 1D"
VA,Virginia,218.4403,8626207,39490,13,544348,0.026,2.8,431,3251339,34268,65098,3213,28,0.871459695,,,268,,,,,776,268,68311,1,1,1,1,A,4,4/20/2020 15:00,4/20/2020 15:07,-1,Democratic,Democratic,"7D, 4R"
VT,Vermont,68.1416,628061,9217,50,34154,0.002,1.2,89,221936,1070,48724,9630,321,3.333333333,477,1331,1581,403,,251,,1418,1581,58354,1,1,1,1,A,4,4/21/2020 0:00,4/21/2020 10:17,-15,Republican,Democratic*,1D
WA,Washington,117.3272,7797095,66456,10,576624,0.028,5.7,538,2925765,23566,12165,816,38,4.656862745,,49,,,,,,15,,12981,1,1,1,1,A,4,4/20/2020 10:32,4/20/2020 14:40,-7,Democratic,Democratic,"7D, 3R"
WI,Wisconsin,108.0497,5851754,54158,21,342470,0.016,2.5,540,2092584,15567,128926,12085,652,5.395117915,,503,,161,,,,,,141011,0,1,0,1,C,2,4/20/2020 2:59,4/21/2020 8:12,0,Democratic,Both,"5R, 3D"
WV,West Virginia,73.9691,1778070,24038,40,79168,0.004,2.4,125,562984,3342,46603,4499,230,5.112247166,237,406,1211,168,307,,,,1211,51102,1,1,1,1,A,4,4/20/2020 16:00,4/20/2020 15:25,19,Republican,Both,3R
WY,Wyoming,5.84,567025,97093,49,39899,0.002,0.3,121,193523,4219,21849,914,26,2.84463895,,77,,37,,23,,290,,22763,1,1,1,0,B,3,4/21/2020 10:00,4/21/2020 10:35,25,Republican,Republican,1R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
